window_size,dp_x,dp_xy,J
1,-1.35,0.03333333333333333,0.7724261013698422
1,-1.35,0.06666666666666667,0.7132707382568532
1,-1.35,0.1,0.6560810079761135
1,-1.35,0.13333333333333333,0.6010437486057412
1,-1.35,0.16666666666666666,0.5483585625884841
1,-1.35,0.2,0.49823869413946437
1,-1.35,0.23333333333333334,0.45091197141128053
1,-1.35,0.26666666666666666,0.40662181865731145
1,-1.35,0.3,0.36562834410243256
1,-1.35,0.3333333333333333,0.32820950974498075
1,-1.35,0.36666666666666664,0.29466238987969384
1,-1.35,0.4,0.2653045257541499
1,-1.35,0.43333333333333335,0.24047538445726188
1,-1.35,0.4666666666666667,0.22053793089564191
1,-1.35,0.5,0.20589187499351683
1,-1.35,0.5333333333333333,0.19719551535522184
1,-1.35,0.5666666666666667,0.19464990360420587
1,-1.35,0.6,0.19871878413249666
1,-1.35,0.6333333333333333,0.2099108812906321
1,-1.35,0.6666666666666666,0.2287708368251537
1,-1.35,0.7,0.2558819038633517
1,-1.35,0.7333333333333333,0.29186886363377557
1,-1.35,0.7666666666666667,0.3374011854549518
1,-1.35,0.8,0.3931964526396403
1,-1.35,0.8333333333333334,0.4600240793180874
1,-1.35,0.8666666666666667,0.5387093458128983
1,-1.35,0.9,0.6301377831353498
1,-1.35,0.9333333333333333,0.7352599404582026
1,-1.35,0.9666666666666667,0.8550965730990826
1,-1.35,1.0,0.9907442926735769
1,-1.3,-1.0,2.8971507280019018
1,-1.3,-0.9666666666666667,2.8265288966454345
1,-1.3,-0.9333333333333333,2.755542068883965
1,-1.3,-0.9,2.684212415629049
1,-1.3,-0.8666666666666667,2.6125639549497546
1,-1.3,-0.8333333333333334,2.540622670288245
1,-1.3,-0.8,2.468416636199895
1,-1.3,-0.7666666666666667,2.3959761521225116
1,-1.3,-0.7333333333333333,2.3233338847154754
1,-1.3,-0.7,2.2505250193489514
1,-1.3,-0.6666666666666666,2.1775874213655615
1,-1.3,-0.6333333333333333,2.104561807782591
1,-1.3,-0.6,2.031491930152075
1,-1.3,-0.5666666666666667,1.9584247693494334
1,-1.3,-0.5333333333333333,1.8854107431187472
1,-1.3,-0.5,1.8125039272651908
1,-1.3,-0.4666666666666667,1.7397622914522786
1,-1.3,-0.43333333333333335,1.66724795063463
1,-1.3,-0.4,1.5950274332357757
1,-1.3,-0.36666666666666664,1.5231719672661799
1,-1.3,-0.3333333333333333,1.4517577856692767
1,-1.3,-0.3,1.3808664522840541
1,-1.3,-0.26666666666666666,1.31058520992184
1,-1.3,-0.23333333333333334,1.241007352173589
1,-1.3,-0.2,1.1722326206928964
1,-1.3,-0.16666666666666666,1.1043676298400662
1,-1.3,-0.13333333333333333,1.0375263207251344
1,-1.3,-0.1,0.971830446853761
1,-1.3,-0.06666666666666667,0.9074100937607812
1,-1.3,-0.03333333333333333,0.8444042352134704
1,-1.3,0.0,0.7829613287816053
1,-1.3,0.03333333333333333,0.723239953806365
1,-1.3,0.06666666666666667,0.665409495056528
1,-1.3,0.1,0.6096508756409219
1,-1.3,0.13333333333333333,0.5561573430528091
