param,window_size,window,t,v,w,is_node
wrong,25,1,14.9,-0.976666422058717,-0.29771161157807374,false
wrong,25,1,15.0,-0.9665226354163902,-0.2980180778113021,false
wrong,25,1,15.1,-0.9561899003468752,-0.2982284583364866,false
wrong,25,1,15.2,-0.9456561163809238,-0.2983416709983707,false
wrong,25,1,15.3,-0.9349081938904945,-0.2983565261946523,false
wrong,25,1,15.4,-0.9239319541254161,-0.2982717181468618,false
wrong,25,1,15.5,-0.9127120173418316,-0.2980858152654742,false
wrong,25,1,15.6,-0.9012316774010741,-0.2977972494994765,false
wrong,25,1,15.7,-0.8894727609718484,-0.297404304545458,false
wrong,25,1,15.8,-0.877415469182451,-0.29690510277381094,false
wrong,25,1,15.9,-0.8650381992363441,-0.29629759070944606,false
wrong,25,1,16.0,-0.8523173431156136,-0.29557952288108824,false
wrong,25,1,16.1,-0.8392270600433179,-0.29474844382619486,false
wrong,25,1,16.2,-0.8257390188465858,-0.2938016680072225,false
wrong,25,1,16.3,-0.8118221057451221,-0.292736257358633,false
wrong,25,1,16.4,-0.7974420923703887,-0.29154899614184937,false
wrong,25,1,16.5,-0.7825612579833832,-0.29023636273637676,false
wrong,25,1,16.6,-0.7671379588864228,-0.28879449793838635,false
wrong,25,1,16.7,-0.7511261368984983,-0.28721916927195507,false
wrong,25,1,16.8,-0.7344747574665116,-0.2855057307414432,false
wrong,25,1,16.9,-0.7171271664997939,-0.2836490773646004,false
wrong,25,1,17.0,-0.6990203533313579,-0.2816435937232331,false
wrong,25,1,17.1,-0.6800841053248204,-0.27948309564990387,false
wrong,25,1,17.2,-0.6602400375770601,-0.2771607640334933,false
wrong,25,1,17.3,-0.6394004789598989,-0.27466906957216736,false
wrong,25,1,17.4,-0.6174671934955362,-0.27199968712861283,false
wrong,25,1,17.5,-0.5943299139457999,-0.2691433981498311,false
wrong,25,1,17.6,-0.5698646628154517,-0.26608997940493667,false
wrong,25,1,17.7,-0.5439318352202402,-0.26282807607549097,false
wrong,25,1,17.8,-0.5163740190451508,-0.25934505701588195,false
wrong,25,1,17.9,-0.48701353176494605,-0.2556268498072243,false
wrong,25,1,18.0,-0.4556496621468317,-0.2516577530925058,false
wrong,25,1,18.1,-0.4220556217451572,-0.2474202236603028,false
wrong,25,1,18.2,-0.3859752400521529,-0.24289463592930663,false
wrong,25,1,18.3,-0.3471194849317455,-0.238059012015183,false
wrong,25,1,18.4,-0.3051629660423383,-0.2328887216457891,false
wrong,25,1,18.5,-0.25974069681938594,-0.22735615314437305,false
wrong,25,1,18.6,-0.2104455686658164,-0.22143035998017005,false
wrong,25,1,18.7,-0.15682725317382937,-0.21507669263949983,false
wrong,25,1,18.8,-0.0983936227370902,-0.2082564336819105,false
wrong,25,1,18.9,-0.034616294532916564,-0.20092646595511363,false
wrong,25,1,19.0,0.03505742812218998,-0.1930390213879763,false
wrong,25,1,19.1,0.11118314629189889,-0.1845415818633691,false
wrong,25,1,19.2,0.19428461176579828,-0.17537703506518348,false
wrong,25,1,19.3,0.28480123434600824,-0.16548422574137192,false
wrong,25,1,19.4,0.38301380299261784,-0.15479908145473478,false
wrong,25,1,19.5,0.4889465406288413,-0.14325651957679306,false
wrong,25,1,19.6,0.6022488507789749,-0.13079333679957428,false
wrong,25,1,19.7,0.7220694855257563,-0.11735221052318474,false
wrong,25,1,19.8,0.8469490370425373,-0.10288676553242966,false
wrong,25,1,19.9,0.974770067990169,-0.08736735847921455,false
wrong,25,1,20.0,1.1028097823433731,-0.07078683919607034,false
wrong,25,1,20.1,1.2279272751331851,-0.05316518303982675,false
wrong,25,1,20.2,1.3468803497435837,-0.034551755283849295,false
wrong,25,1,20.3,1.4567148334529698,-0.015024259165147366,false
wrong,25,1,20.4,1.5551284613087695,0.005315842462038839,false
wrong,25,1,20.5,1.6407099493333597,0.026350699091257236,false
wrong,25,1,20.6,1.7129981228160724,0.04795477354996659,false
wrong,25,1,20.7,1.7723715813045657,0.07000321187257952,false
wrong,25,1,20.8,1.81983004091635,0.09237858564105608,false
wrong,25,1,20.9,1.8567433548123224,0.11497537729647445,false
wrong,25,1,21.0,1.8846278006934107,0.13770222237732296,false
wrong,25,1,21.1,1.9049800356170818,0.1604823371670904,false
wrong,25,1,21.2,1.9191735339043743,0.18325271155562398,false
wrong,25,1,21.3,1.9284073169586136,0.20596260939212077,false
wrong,25,1,21.4,1.9336916342657755,0.2285717913711452,false
wrong,25,1,21.5,1.9358561777145844,0.25104873295705504,false
wrong,25,1,21.6,1.9355698323904522,0.2733689905360568,false
wrong,25,1,21.7,1.9333646697610127,0.2955137843513889,false
wrong,25,1,21.8,1.929659899880518,0.31746881391394227,false
wrong,25,1,21.9,1.9247836007873838,0.33922329251980493,false
wrong,25,1,22.0,1.9189913581864662,0.3607691741595728,false
wrong,25,1,22.1,1.9124816930937716,0.3821005421238284,false
wrong,25,1,22.2,1.9054085290407494,0.40321312964737954,false
wrong,25,1,22.3,1.897891103105852,0.4241039462837435,false
wrong,25,1,22.4,1.8900217561524562,0.44477098780759583,false
wrong,25,1,22.5,1.8818720086179719,0.4652130114928226,false
wrong,25,1,22.6,1.8734972743843812,0.48542936223456545,false
wrong,25,1,22.7,1.8649405056421993,0.5054198380479002,false
wrong,25,1,22.8,1.856235005504489,0.5251845859824501,false
wrong,25,1,22.9,1.847406596257447,0.5447240214976493,false
wrong,25,1,23.0,1.8384752905026875,0.5640387659238942,false
wrong,25,1,23.1,1.8294565796218878,0.5831295978677556,false
wrong,25,1,23.2,1.8203624279753363,0.601997415374543,false
wrong,25,1,23.3,1.811202040884395,0.6206432063979545,false
wrong,25,1,23.4,1.8019824586529751,0.6390680256926964,false
wrong,25,1,23.5,1.792709016703273,0.6572729766804268,false
wrong,25,1,23.6,1.7833857025457727,0.675259197172524,false
wrong,25,1,23.7,1.7740154331355364,0.6930278480886011,false
wrong,25,1,23.8,1.7646002706822408,0.7105801045055974,false
wrong,25,1,23.9,1.7551415907872387,0.7279171485226601,false
wrong,25,1,24.0,1.7456402135732796,0.7450401635425947,false
wrong,25,1,24.1,1.7360965060179785,0.7619503296595924,false
wrong,25,1,24.2,1.726510461822097,0.778648819911472,false
wrong,25,1,24.3,1.7168817637018998,0.795136797207572,false
wrong,25,1,24.4,1.7072098318874962,0.8114154117843284,false
wrong,25,1,24.5,1.6974938617571151,0.8274857990722397,false
wrong,25,1,24.6,1.6877328528805637,0.843349077882494,false
wrong,25,1,24.7,1.6779256312378694,0.8590063488406094,false
wrong,25,1,24.8,1.6680708659864174,0.8744586930092842,false
wrong,25,1,24.9,1.6581670818451337,0.889707170654208,false
wrong,25,1,25.0,1.6482126679270923,0.9047528201155833,false
