seed,kappa_from,kappa_to,s,J_next,J_prev
2,25,33,0.7,0.016066751687659656,0.02092272561500231
2,25,33,0.75,0.015486025120060415,0.02192296438102269
2,25,33,0.8,0.015002514624068474,0.022981086451570133
2,25,33,0.85,0.014620129740142167,0.024096476946765817
2,25,33,0.9,0.01434284660383743,0.0252686920571919
2,25,33,0.95,0.014174646403478609,0.026497446148729564
2,25,33,1.0,0.014119454442253591,0.027782594732659545
2,33,50,0.0,0.024296134784634344,0.014119454442253591
2,33,50,0.05,0.023300303277055772,0.014155144089546025
2,33,50,0.1,0.022354592382175586,0.01427880975829816
2,33,50,0.15,0.021457847532776964,0.01448688791301313
2,33,50,0.2,0.020609136213663684,0.014775886836958994
2,33,50,0.25,0.019807752758688714,0.015142420307792271
2,33,50,0.3,0.01905322107762187,0.01558324134283067
2,33,50,0.35,0.01834529526167855,0.01609527452350929
2,33,50,0.4,0.017683958030300324,0.016675645735191976
2,33,50,0.45,0.017069416999713857,0.017321708479528068
2,33,50,0.5,0.016502098775902783,0.018031066217250067
2,33,50,0.55,0.01598264090065749,0.018801590468193935
2,33,50,0.6,0.015511881708789577,0.019631434624151116
2,33,50,0.65,0.015090848186960354,0.020519043613843484
2,33,50,0.7,0.014720741959338202,0.02146315969569661
2,33,50,0.75,0.014402923562065656,0.022462824743519103
2,33,50,0.8,0.014138895206901952,0.023517379435006452
