window_size,dp_x2,dp_xy,J
1,-0.5925,-1.3275,3.789729447799694
1,-0.5925,-1.313125,3.7654243313732856
1,-0.5925,-1.29875,3.74105376753365
1,-0.5925,-1.284375,3.716618297312966
1,-0.5925,-1.27,3.692118481110934
1,-0.5925,-1.255625,3.6675548991083864
1,-0.5925,-1.24125,3.6429281516887215
1,-0.5925,-1.226875,3.618238859867424
1,-0.5925,-1.2125,3.593487665729678
1,-0.5925,-1.198125,3.568675232876336
1,-0.5925,-1.18375,3.543802246878299
1,-0.5925,-1.169375,3.5188694157395357
1,-0.5925,-1.155,3.493877470368844
1,-0.5925,-1.140625,3.4688271650605245
1,-0.5925,-1.12625,3.4437192779841372
1,-0.5925,-1.111875,3.4185546116834815
1,-0.5925,-1.0975,3.393333993584992
1,-0.5925,-1.083125,3.368058276515682
1,-0.5925,-1.06875,3.3427283392308484
1,-0.5925,-1.054375,3.3173450869516556
1,-0.5925,-1.04,3.2919094519128262
1,-0.5925,-1.025625,3.266422393920594
1,-0.5925,-1.01125,3.2408849009211025
1,-0.5925,-0.996875,3.215297989579404
1,-0.5925,-0.9825,3.1896627058693436
1,-0.5925,-0.968125,3.163980125674371
1,-0.5925,-0.95375,3.138251355399629
1,-0.5925,-0.939375,3.1124775325953786
1,-0.5925,-0.925,3.0866598265920806
1,-0.5925,-0.910625,3.060799439147249
1,-0.5925,-0.89625,3.0348976051043204
1,-0.5925,-0.881875,3.0089555930637664
1,-0.5925,-0.8675,2.982974706066614
1,-0.5925,-0.853125,2.9569562822906548
1,-0.5925,-0.83875,2.930901695759501
1,-0.5925,-0.824375,2.9048123570647753
1,-0.5925,-0.81,2.878689714101594
1,-0.5925,-0.795625,2.852535252817663
1,-0.5925,-0.78125,2.826350497976134
1,-0.5925,-0.766875,2.8001370139325212
1,-0.5925,-0.7525,2.7738964054259037
1,-0.5925,-0.738125,2.7476303183846693
1,-0.5925,-0.72375,2.7213404407470314
1,-0.5925,-0.709375,2.6950285032965957
1,-0.5925,-0.695,2.668696280513243
1,-0.5925,-0.680625,2.642345591439596
1,-0.5925,-0.66625,2.61597830056327
1,-0.5925,-0.651875,2.5895963187153157
1,-0.5925,-0.6375,2.5632016039850143
1,-0.5925,-0.623125,2.53679616265135
1,-0.5925,-0.60875,2.51038205013147
1,-0.5925,-0.594375,2.4839613719463927
1,-0.5925,-0.58,2.4575362847042754
