plane,window_size,f_blow,basin,J_min,J_max
c_w,3,0.0,0.002956194571351787,0.021823148670987533,7.670950772210008
c_w,4,0.0,0.0010749798441279225,0.018745303613809015,8.582008829882405
c_w,5,0.0,0.0010749798441279225,0.020895430727674334,9.148720005018609
c_w,6,0.0,0.002149959688255845,0.0867531854788596,9.53047268664481
c_w,8,0.0,0.0005374899220639613,0.022962069289866327,10.273372212768205
c_w,10,0.0,0.0002687449610319806,0.01543365226590483,11.023045507003252
c_w,12,0.0,0.0016124697661918839,0.06067313644252304,11.86811834260064
c_w,15,0.0,0.0005374899220639613,0.02224764669442469,12.763407421422711
c_w,20,0.0,0.0008062348830959419,0.01940981575471948,14.083495069123877
c_w,25,0.0,0.0002687449610319806,0.020700188701984125,16.13517314701596
c_w,33,0.0,0.0002687449610319806,0.02275075821180186,18.561717840863693
c_w,50,0.0,0.0002687449610319806,0.02728570980472099,19.260738545212888
c_w,75,0.0,0.0002687449610319806,0.016796329228972662,21.285635812280173
c_w,100,0.0,0.0002687449610319806,0.017576201469118733,23.77692939267881
wv_ww,1,0.0,0.08868583714055361,0.01773109828394226,0.5995216561133154
wv_ww,2,0.0,0.03278688524590164,0.02081570639329574,2.2702353294115682
wv_ww,3,0.0,0.01585595270088686,0.02178230920515756,6.265301982967348
wv_ww,4,0.0,0.004568664337543671,0.016564447372136606,14.97117017513626
wv_ww,5,0.0,0.00429991937651169,0.020895430727674334,30.71608900690554
wv_ww,6,0.0,0.005106154259607632,0.08050594721917187,66.140444340459
wv_ww,8,0.0,0.0010749798441279225,0.02024906589385784,259.0635984532664
wv_ww,10,0.0018812147272239121,0.0002687449610319806,0.01543365226590483,880.2392513003855
wv_ww,12,0.02741198602526207,0.0010749798441279225,0.05324605311122358,869.9781319161191
wv_ww,15,0.07686105885514649,0.0005374899220639613,0.02224764669442469,681.1579813636114
wv_ww,20,0.12039774254232738,0.0002687449610319806,0.01940981575471948,861.6202526184768
wv_ww,25,0.18677774791722657,0.0002687449610319806,0.020700188701984125,948.475213587885
wv_ww,33,0.2257457672668638,0.0005374899220639613,0.02275075821180186,986.9637835827278
wv_ww,50,0.2555764579414136,0.0002687449610319806,0.02728570980472099,971.4013283144835
wv_ww,75,0.27411986025262025,0.0002687449610319806,0.016796329228972662,947.442986278742
wv_ww,100,0.28433216877183554,0.0002687449610319806,0.017576201469118733,965.8608350890826
v_wv,1,0.0,0.02123085192152647,0.01773109828394226,2.5670103350460867
v_wv,2,0.0,0.010481053480247245,0.020915482849303117,4.42612138288197
v_wv,3,0.0,0.0064498790647675355,0.021823148670987533,6.661811285894851
v_wv,4,0.0,0.0026874496103198066,0.018745303613809015,9.718184575228856
v_wv,5,0.0,0.002149959688255845,0.020895430727674334,14.080251142451555
v_wv,6,0.0,0.002418704649287826,0.05801252525665339,16.681240199393184
v_wv,8,0.0,0.0008062348830959419,0.022962069289866327,25.698691983126068
v_wv,10,0.0,0.0005374899220639613,0.01543365226590483,35.97866104143938
v_wv,12,0.0,0.0010749798441279225,0.052799080551344954,44.232558453677
v_wv,15,0.0,0.0002687449610319806,0.02224764669442469,57.42726918454657
v_wv,20,0.0,0.0005374899220639613,0.01940981575471948,91.10170293138465
v_wv,25,0.0,0.0002687449610319806,0.020700188701984125,117.84314579098826
v_wv,33,0.0,0.0002687449610319806,0.02275075821180186,160.21666326014807
v_wv,50,0.0,0.0002687449610319806,0.02728570980472099,261.19222761063713
v_wv,75,0.0,0.0002687449610319806,0.016796329228972662,292.71222054489186
v_wv,100,0.0,0.0002687449610319806,0.017576201469118733,415.8835505887128
w_wv,1,0.0,0.027680730986294005,0.01773109828394226,1.5174405327901692
w_wv,2,0.0,0.010212308519215264,0.020915482849303117,3.5138884012313
w_wv,3,0.0,0.006181134103735555,0.021823148670987533,5.025400560744314
w_wv,4,0.0,0.002956194571351787,0.018745303613809015,5.882289326969774
w_wv,5,0.0,0.002418704649287826,0.020895430727674334,8.657799823514074
w_wv,6,0.0,0.002956194571351787,0.08050594721917187,12.123622677146107
w_wv,8,0.0,0.0008062348830959419,0.022962069289866327,20.9301518621277
w_wv,10,0.0,0.0002687449610319806,0.01543365226590483,28.791606497085226
w_wv,12,0.0,0.0013437248051599033,0.06067313644252304,42.38824948063889
w_wv,15,0.0,0.0005374899220639613,0.02224764669442469,60.2364288532721
w_wv,20,0.0,0.0005374899220639613,0.01940981575471948,109.09867034151739
w_wv,25,0.0,0.0002687449610319806,0.020700188701984125,158.80137296914268
