window_size,dp_v,dp_v3,J
1,-1.2375,-0.225,0.8772524473487505
1,-1.2375,-0.1875,0.8553675873060802
1,-1.2375,-0.15,0.8323214906573669
1,-1.2375,-0.1125,0.8080025443383374
1,-1.2375,-0.075,0.7822843343725407
1,-1.2375,-0.0375,0.7550236014238099
1,-1.2375,0.0,0.7260582316493477
1,-1.2375,0.0375,0.6952057018700849
1,-1.2375,0.075,0.6622629153054969
1,-1.2375,0.1125,0.6270094948789551
1,-1.2375,0.15,0.5892191624644926
1,-1.2375,0.1875,0.5486899305102437
1,-1.2375,0.225,0.5053193499412205
1,-1.2375,0.2625,0.4592941927602014
1,-1.2375,0.3,0.4115990569918564
1,-1.2375,0.3375,0.36557121007951154
1,-1.2375,0.375,0.33266379692689757
1,-1.2375,0.4125,0.3634008370664776
1,-1.2375,0.45,1.8582410394091515
1,-1.2375,0.4875,1000.0
1,-1.2375,0.525,1000.0
1,-1.2375,0.5625,1000.0
1,-1.2375,0.6,1000.0
1,-1.2375,0.6375,1000.0
1,-1.2375,0.675,1000.0
1,-1.2375,0.7125,1000.0
1,-1.2375,0.75,1000.0
1,-1.2375,0.7875,1000.0
1,-1.2375,0.825,1000.0
1,-1.2375,0.8625,1000.0
1,-1.2375,0.9,1000.0
1,-1.2375,0.9375,1000.0
1,-1.2375,0.975,1000.0
1,-1.2375,1.0125,1000.0
1,-1.2375,1.05,1000.0
1,-1.2375,1.0875,1000.0
1,-1.2375,1.125,1000.0
1,-1.2375,1.1625,1000.0
1,-1.2375,1.2,1000.0
1,-1.2375,1.2375,1000.0
1,-1.2375,1.275,1000.0
1,-1.2375,1.3125,1000.0
1,-1.2375,1.35,1000.0
1,-1.2375,1.3875,1000.0
1,-1.2375,1.425,1000.0
1,-1.2375,1.4625,1000.0
1,-1.2375,1.5,1000.0
1,-1.2,-1.5,1.2672501676776022
1,-1.2,-1.4625,1.2600739279692137
1,-1.2,-1.425,1.2526979666990263
1,-1.2,-1.3875,1.2451208338282662
1,-1.2,-1.35,1.2373387501221518
1,-1.2,-1.3125,1.2293466301347347
1,-1.2,-1.275,1.221138522861089
1,-1.2,-1.2375,1.2127077913424775
1,-1.2,-1.2,1.2040471733839515
1,-1.2,-1.1625,1.1951487838267199
1,-1.2,-1.125,1.186004084607514
1,-1.2,-1.0875,1.1766038345737875
1,-1.2,-1.05,1.1669380248869372
1,-1.2,-1.0125,1.1569958030362963
1,-1.2,-0.975,1.1467653870479857
1,-1.2,-0.9375,1.1362339705900097
1,-1.2,-0.9,1.1253876190047283
1,-1.2,-0.8625,1.114211155701428
1,-1.2,-0.825,1.1026880377627657
1,-1.2,-0.7875,1.0908002190437869
1,-1.2,-0.75,1.0785279984665366
1,-1.2,-0.7125,1.0658498506309433
1,-1.2,-0.675,1.0527422352614768
1,-1.2,-0.6375,1.0391793813690255
1,-1.2,-0.6,1.0251330413020512
1,-1.2,-0.5625,1.0105722090588165
1,-1.2,-0.525,0.9954627962995412
1,-1.2,-0.4875,0.979767258399261
1,-1.2,-0.45,0.9634441615883296
1,-1.2,-0.4125,0.9464476807170702
1,-1.2,-0.375,0.9287270154547669
1,-1.2,-0.3375,0.9102257108370151
1,-1.2,-0.3,0.8908808661431721
1,-1.2,-0.2625,0.8706222144225866
1,-1.2,-0.225,0.8493710542275442
1,-1.2,-0.1875,0.8270390165158706
1,-1.2,-0.15,0.8035266557367416
1,-1.2,-0.1125,0.7787218696701272
1,-1.2,-0.075,0.7524981872535962
1,-1.2,-0.0375,0.7247130366594186
1,-1.2,0.0,0.6952062567912365
1,-1.2,0.0375,0.6637994276105175
1,-1.2,0.075,0.6302972510964222
