window_size,dp_xy_x,dp_xy_y,J
1,-1.0,-0.08,1.3304826052954906
1,-1.0,-0.07,1.3383747571681037
1,-1.0,-0.06,1.34659279115596
1,-1.0,-0.05,1.3551410547138543
1,-1.0,-0.04,1.3640239223590762
1,-1.0,-0.03,1.3732457953444863
1,-1.0,-0.02,1.3828111013215816
1,-1.0,-0.01,1.3927242939935882
1,-1.0,0.0,1.4029898527585907
1,-1.0,0.01,1.413612282342695
1,-1.0,0.02,1.4245961124232693
1,-1.0,0.03,1.4359458972422772
1,-1.0,0.04,1.4476662152097368
1,-1.0,0.05,1.4597616684973485
1,-1.0,0.06,1.4722368826223298
1,-1.0,0.07,1.4850965060215071
1,-1.0,0.08,1.4983452096157188
1,-1.0,0.09,1.5119876863645851
1,-1.0,0.1,1.5260286508117238
1,-1.0,0.11,1.5404728386204563
1,-1.0,0.12,1.5553250061001134
1,-1.0,0.13,1.5705899297229866
1,-1.0,0.14,1.5862724056320439
1,-1.0,0.15,1.6023772491394872
1,-1.0,0.16,1.6189092942162422
1,-1.0,0.17,1.635873392972511
1,-1.0,0.18,1.6532744151294647
1,-1.0,0.19,1.6711172474822127
1,-1.0,0.2,1.6894067933541772
1,-1.0,0.21,1.7081479720429542
1,-1.0,0.22,1.727345718257865
1,-1.0,0.23,1.7470049815492528
1,-1.0,0.24,1.7671307257297497
1,-1.0,0.25,1.7877279282875924
1,-1.0,0.26,1.808801579792176
1,-1.0,0.27,1.830356683292008
1,-1.0,0.28,1.8523982537052044
1,-1.0,0.29,1.8749313172027198
1,-1.0,0.3,1.8979609105844624
1,-1.0,0.31,1.9214920806485007
1,-1.0,0.32,1.9455298835535113
1,-1.0,0.33,1.9700793841747004
1,-1.0,0.34,1.9951456554533529
1,-1.0,0.35,2.020733777740231
1,-1.0,0.36,2.0468488381330108
1,-1.0,0.37,2.0734959298079887
1,-1.0,0.38,2.1006801513462343
1,-1.0,0.39,2.128406606054444
1,-1.0,0.4,2.156680401280679
1,-1.0,0.41,2.1855066477252505
1,-1.0,0.42,2.21489045874694
1,-1.0,0.43,2.244836949664832
1,-1.0,0.44,2.2753512370559528
1,-1.0,0.45,2.3064384380489775
1,-1.0,0.46,2.3381036696142563
1,-1.0,0.47,2.370352047850373
1,-1.0,0.48,2.4031886872675385
1,-1.0,0.49,2.4366187000680104
1,-1.0,0.5,2.4706471954238256
1,-1.0,0.51,2.5052792787521363
1,-1.0,0.52,2.54052005098834
1,-1.0,0.53,2.576374607857301
1,-1.0,0.54,2.612848039142969
1,-1.0,0.55,2.6499454279565704
1,-1.0,0.56,2.687671850003733
1,-1.0,0.57,2.7260323728507605
1,-1.0,0.58,2.7650320551903333
1,-1.0,0.59,2.8046759461069337
1,-1.0,0.6,2.8449690843422495
1,-1.0,0.61,2.88591649756084
1,-1.0,0.62,2.9275232016163324
1,-1.0,0.63,2.969794199818423
1,-1.0,0.64,3.0127344822009943
1,-1.0,0.65,3.056349024791582
1,-1.0,0.66,3.1006427888824746
1,-1.0,0.67,3.1456207203037634
1,-1.0,0.68,3.1912877486985782
1,-1.0,0.69,3.2376487868007806
1,-1.0,0.7,3.284708729715458
1,-1.0,0.71,3.3324724542023825
1,-1.0,0.72,3.3809448179628347
1,-1.0,0.73,3.430130658929946
1,-1.0,0.74,3.480034794562916
1,-1.0,0.75,3.5306620211453494
1,-1.0,0.76,3.5820171130879515
1,-1.0,0.77,3.634104822235898
1,-1.0,0.78,3.686929877181086
1,-1.0,0.79,3.7404969825796184
1,-1.0,0.8,3.7948108184746316
1,-0.9875,-0.8,1.3644243612273983
1,-0.9875,-0.79,1.358066094167063
1,-0.9875,-0.78,1.3518011644229029
1,-0.9875,-0.77,1.3456317075203739
1,-0.9875,-0.76,1.3395598879568147
1,-0.9875,-0.75,1.3335878993981203
1,-0.9875,-0.74,1.3277179648724604
1,-0.9875,-0.73,1.3219523369609492
1,-0.9875,-0.72,1.316293297985095
1,-0.9875,-0.71,1.3107431601909576
1,-0.9875,-0.7,1.3053042659298493
1,-0.9875,-0.69,1.2999789878354755
1,-0.9875,-0.68,1.2947697289973794
1,-0.9875,-0.67,1.2896789231305712
1,-0.9875,-0.66,1.2847090347411971
1,-0.9875,-0.65,1.279862559288143
1,-0.9875,-0.64,1.2751420233404185
1,-0.9875,-0.63,1.2705499847302042
1,-0.9875,-0.62,1.2660890327014271
1,-0.9875,-0.61,1.2617617880537333
1,-0.9875,-0.6,1.2575709032817266
1,-0.9875,-0.59,1.2535190627093304
1,-0.9875,-0.58,1.2496089826191532
1,-0.9875,-0.57,1.2458434113767118
1,-0.9875,-0.56,1.2422251295493925
1,-0.9875,-0.55,1.2387569500199944
1,-0.9875,-0.54,1.2354417180947408
1,-0.9875,-0.53,1.2322823116056179
1,-0.9875,-0.52,1.2292816410068999
1,-0.9875,-0.51,1.2264426494657348
1,-0.9875,-0.5,1.2237683129466512
1,-0.9875,-0.49,1.22126164028986
1,-0.9875,-0.48,1.2189256732832068
1,-0.9875,-0.47,1.2167634867276542
1,-0.9875,-0.46,1.214778188496153
1,-0.9875,-0.45,1.212972919585767
1,-0.9875,-0.44,1.211350854162951
1,-0.9875,-0.43,1.2099151996017967
1,-0.9875,-0.42,1.2086691965151795
1,-0.9875,-0.41,1.2076161187786305
1,-0.9875,-0.4,1.2067592735468355
1,-0.9875,-0.39,1.2061020012626238
1,-0.9875,-0.38,1.2056476756583223
1,-0.9875,-0.37,1.2053997037493605
1,-0.9875,-0.36,1.2053615258200008
1,-0.9875,-0.35,1.2055366154010723
1,-0.9875,-0.34,1.205928479239629
1,-0.9875,-0.33,1.206540657265276
1,-0.9875,-0.32,1.2073767232747272
1,-0.9875,-0.31,1.2084403930662906
1,-0.9875,-0.3,1.209746524732219
1,-0.9875,-0.29,1.2113479132605787
1,-0.9875,-0.28,1.213199140681628
1,-0.9875,-0.27,1.2152927257497907
1,-0.9875,-0.26,1.2176323291699436
1,-0.9875,-0.25,1.220221753132816
1,-0.9875,-0.24,1.223064833007652
1,-0.9875,-0.23,1.226165436484015
1,-0.9875,-0.22,1.2295274634308049
1,-0.9875,-0.21,1.2331548457507646
1,-0.9875,-0.2,1.237051547225508
1,-0.9875,-0.19,1.2412215633509769
1,-0.9875,-0.18,1.245668921163236
1,-0.9875,-0.17,1.2503976790545541
1,-0.9875,-0.16,1.2554119265796935
1,-0.9875,-0.15,1.2607157842523435
1,-0.9875,-0.14,1.266313403331647
1,-0.9875,-0.13,1.2722089655987683
1,-0.9875,-0.12,1.2784066831234415
1,-0.9875,-0.11,1.2849107980204557
1,-0.9875,-0.1,1.2917255821960427
1,-0.9875,-0.09,1.2988553370841296
1,-0.9875,-0.08,1.3063043933724066
1,-0.9875,-0.07,1.3140771107182074
1,-0.9875,-0.06,1.3221778774541646
1,-0.9875,-0.05,1.330611110283613
1,-0.9875,-0.04,1.3393812539657528
1,-0.9875,-0.03,1.348492780990534
1,-0.9875,-0.02,1.3579501912432852
1,-0.9875,-0.01,1.3677580116590677
1,-0.9875,0.0,1.3779207958667685
1,-0.9875,0.01,1.3884431238229527
1,-0.9875,0.02,1.399329601435475
1,-0.9875,0.03,1.410584860176894
1,-0.9875,0.04,1.422213556687687
1,-0.9875,0.05,1.4342203723693416
1,-0.9875,0.06,1.4466100129673094
1,-0.9875,0.07,1.4593872081439228
1,-0.9875,0.08,1.4725567110412752
1,-0.9875,0.09,1.4861232978341514
1,-0.9875,0.1,1.5000917672730567
1,-0.9875,0.11,1.5144669402174236
1,-0.9875,0.12,1.5292536591590422
1,-0.9875,0.13,1.5444567877358226
1,-0.9875,0.14,1.560081210235957
1,-0.9875,0.15,1.5761318310925843
1,-0.9875,0.16,1.5926135743690228
1,-0.9875,0.17,1.609531383234712
1,-0.9875,0.18,1.6268902194319468
1,-0.9875,0.19,1.6446950627335208
1,-0.9875,0.2,1.6629509103913926
1,-0.9875,0.21,1.6816627765765197
1,-0.9875,0.22,1.7008356918099636
1,-0.9875,0.23,1.7204747023854188
1,-0.9875,0.24,1.7405848697833042
1,-0.9875,0.25,1.7611712700765532
1,-0.9875,0.26,1.7822389933282805
1,-0.9875,0.27,1.8037931429814473
1,-0.9875,0.28,1.8258388352407253
1,-0.9875,0.29,1.8483811984466965
1,-0.9875,0.3,1.8714253724425953
1,-0.9875,0.31,1.8949765079337346
1,-0.9875,0.32,1.9190397658398333
1,-0.9875,0.33,1.9436203166404287
1,-0.9875,0.34,1.9687233397135413
1,-0.9875,0.35,1.9943540226678402
1,-0.9875,0.36,2.0205175606684542
1,-0.9875,0.37,2.0472191557567063
1,-0.9875,0.38,2.0744640161639203
1,-0.9875,0.39,2.1022573556195634
1,-0.9875,0.4,2.130604392653926
1,-0.9875,0.41,2.1595103498955734
1,-0.9875,0.42,2.1889804533637958
1,-0.9875,0.43,2.2190199317563017
1,-0.9875,0.44,2.249634015732377
1,-0.9875,0.45,2.2808279371917832
1,-0.9875,0.46,2.312606928549602
1,-0.9875,0.47,2.3449762220073076
1,-0.9875,0.48,2.3779410488203028
1,-0.9875,0.49,2.4115066385621993
