system,arm,seed,optimizer,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
lorenz,reset,2,nm,100,1000.0,32.463682339725175,0.0,1.0,23,0.03970789909362793,315,8,true,true,32.463682339725175
lorenz,reset,4,nm,1,0.6914408322513675,28.727608170049177,0.03333333333333333,1.0,22,4.8166399002075195,4759,4000,false,false,32.34822048257865
lorenz,reset,4,nm,2,1.9299187114411434,31.735975413392822,0.03333333333333333,1.0,22,4.8316779136657715,4760,4000,false,false,32.34822048257865
lorenz,reset,4,nm,5,1000.0,32.370437257327964,0.03333333333333333,1.0,22,1.3933029174804688,4035,150,true,true,32.34822048257865
lorenz,reset,4,nm,10,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.0045239925384521484,35,0,true,true,32.34822048257865
lorenz,reset,4,nm,25,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.003484964370727539,35,0,true,true,32.34822048257865
lorenz,reset,4,nm,50,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.0034699440002441406,35,0,true,true,32.34822048257865
lorenz,reset,4,nm,100,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.0035181045532226562,35,0,true,true,32.34822048257865
lorenz,propagate,2,bfgs,1,0.19863032932808994,13.281591347373219,0.7,0.8571428571428571,6,14.722849130630493,460,154,true,false,32.463682339725175
lorenz,propagate,2,bfgs,2,0.1903140921035123,12.603111183640573,0.7,1.0,6,7.198628902435303,228,82,true,false,32.463682339725175
lorenz,propagate,2,bfgs,5,0.20038773051762981,4.89233981837989,0.5666666666666667,0.8571428571428571,10,7.836506128311157,260,91,true,false,32.463682339725175
lorenz,propagate,2,bfgs,10,0.1845251790873333,2.6457481840531236,0.6666666666666666,0.8571428571428571,9,6.85577917098999,236,78,true,false,32.463682339725175
lorenz,propagate,2,bfgs,25,0.17321650044655557,3.4070087367252846,0.7333333333333333,0.8571428571428571,7,6.805850982666016,258,73,true,false,32.463682339725175
lorenz,propagate,2,bfgs,50,0.15819260810993624,3.7229415214154393,0.8333333333333334,0.8571428571428571,3,5.204392910003662,195,57,true,false,32.463682339725175
lorenz,propagate,2,bfgs,100,0.15203831005225044,3.851671830528991,0.8333333333333334,0.8571428571428571,3,5.823790073394775,210,60,true,false,32.463682339725175
lorenz,propagate,4,bfgs,1,0.19863032932808983,13.281591345901038,0.7,0.8571428571428571,6,20.985435009002686,720,234,true,false,32.34822048257865
lorenz,propagate,4,bfgs,2,0.19031409210351288,12.603111180466287,0.7,1.0,6,7.026071071624756,226,81,true,false,32.34822048257865
lorenz,propagate,4,bfgs,5,0.20038773051763004,4.892339813799294,0.5666666666666667,0.8571428571428571,10,8.168436050415039,261,91,true,false,32.34822048257865
lorenz,propagate,4,bfgs,10,0.18452517908733249,2.645748183422903,0.6666666666666666,0.8571428571428571,9,6.610824823379517,232,78,true,false,32.34822048257865
lorenz,propagate,4,bfgs,25,0.17321650044655504,3.407008736725295,0.7333333333333333,0.8571428571428571,7,6.737358093261719,258,73,true,false,32.34822048257865
lorenz,propagate,4,bfgs,50,0.15819260810993718,3.722941521415582,0.8333333333333334,0.8571428571428571,3,5.163475036621094,195,57,true,false,32.34822048257865
lorenz,propagate,4,bfgs,100,0.15203831005224952,3.851671830528844,0.8333333333333334,0.8571428571428571,3,5.796567916870117,210,60,true,false,32.34822048257865
lorenz,reset,2,bfgs,1,0.19863032932808994,13.281591347373219,0.7,0.8571428571428571,6,13.206171989440918,460,154,true,false,32.463682339725175
lorenz,reset,2,bfgs,2,0.1903140921035127,12.603111181718443,0.7,1.0,6,30.34667992591858,1040,346,true,false,32.463682339725175
lorenz,reset,2,bfgs,5,1000.0,32.463682339725175,0.0,1.0,23,0.003010988235473633,1,0,true,true,32.463682339725175
lorenz,reset,2,bfgs,10,1000.0,32.463682339725175,0.0,1.0,23,0.0030019283294677734,1,0,true,true,32.463682339725175
lorenz,reset,2,bfgs,25,1000.0,32.463682339725175,0.0,1.0,23,0.0029981136322021484,1,0,true,true,32.463682339725175
lorenz,reset,2,bfgs,50,1000.0,32.463682339725175,0.0,1.0,23,0.003351926803588867,1,0,true,true,32.463682339725175
lorenz,reset,2,bfgs,100,1000.0,32.463682339725175,0.0,1.0,23,0.003000974655151367,1,0,true,true,32.463682339725175
lorenz,reset,4,bfgs,1,0.19863032932808983,13.281591345901038,0.7,0.8571428571428571,6,20.770035982131958,720,234,true,false,32.34822048257865
lorenz,reset,4,bfgs,2,1000.0,8341.196742997083,0.03333333333333333,1.0,23,0.03130698204040527,2,1,true,true,32.34822048257865
lorenz,reset,4,bfgs,5,1000.0,97652.64265590791,0.0,1.0,23,0.031271934509277344,2,1,true,true,32.34822048257865
lorenz,reset,4,bfgs,10,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.0030248165130615234,1,0,true,true,32.34822048257865
lorenz,reset,4,bfgs,25,1000.0,32.34822048257865,0.03333333333333333,1.0,22,0.0030090808868408203,1,0,true,true,32.34822048257865
