window_size,dp_w,dp_wv,J
1,-1.275,-0.3625,0.8356385126672891
1,-1.275,-0.35,0.8151971206991484
1,-1.275,-0.3375,0.7958498220763427
1,-1.275,-0.325,0.7775865327896587
1,-1.275,-0.3125,0.7603972000658792
1,-1.275,-0.3,0.7442718023766215
1,-1.275,-0.2875,0.7292003494422256
1,-1.275,-0.275,0.7151728822305895
1,-1.275,-0.2625,0.7021794729508128
1,-1.275,-0.25,0.6902102250415677
1,-1.275,-0.2375,0.6792552731540766
1,-1.275,-0.225,0.6693047831296023
1,-1.275,-0.2125,0.660348951971394
1,-1.275,-0.2,0.6523780078109719
1,-1.275,-0.1875,0.6453822098687134
1,-1.275,-0.175,0.6393518484086758
1,-1.275,-0.1625,0.6342772446876026
1,-1.275,-0.15,0.6301487508980766
1,-1.275,-0.1375,0.6269567501057989
1,-1.275,-0.125,0.6246916561809793
1,-1.275,-0.1125,0.6233439137246889
1,-1.275,-0.1,0.6229039984380873
1,-1.275,-0.0875,0.6233626472296012
1,-1.275,-0.075,0.6247354892780745
1,-1.275,-0.0625,0.627023923043583
1,-1.275,-0.05,0.6301831749404845
1,-1.275,-0.0375,0.6342030879035234
1,-1.275,-0.025,0.639074317490731
1,-1.275,-0.0125,0.6447875507576504
1,-1.275,0.0,0.651333504562394
1,-1.275,0.0125,0.6587029254316802
1,-1.275,0.025,0.6668865894248031
1,-1.275,0.0375,0.6758753019926674
1,-1.275,0.05,0.6856598978320485
1,-1.275,0.0625,0.6962312407352688
1,-1.275,0.075,0.7075802234354808
1,-1.275,0.0875,0.7196977674477664
1,-1.275,0.1,0.7325748229062801
1,-1.275,0.1125,0.7462023683976746
1,-1.275,0.125,0.7605714107910563
1,-1.275,0.1375,0.7756729850647356
1,-1.275,0.15,0.7914981541300556
1,-1.275,0.1625,0.808038008652575
1,-1.275,0.175,0.82528366687093
1,-1.275,0.1875,0.8432262744136654
1,-1.275,0.2,0.8618570041143706
1,-1.275,0.2125,0.8811670558254731
1,-1.275,0.225,0.9011476562310083
1,-1.275,0.2375,0.9217900586587483
1,-1.275,0.25,0.9430855428920476
1,-1.275,0.2625,0.9650254149817844
1,-1.275,0.275,0.9876010070587917
1,-1.275,0.2875,1.0108036771471587
1,-1.275,0.3,1.034624808978829
1,-1.275,0.3125,1.0590558118098807
1,-1.275,0.325,1.0840881202389232
1,-1.275,0.3375,1.1097131940280363
1,-1.275,0.35,1.1359225179266628
1,-1.275,0.3625,1.16270760149891
1,-1.275,0.375,1.1900599789546873
1,-1.275,0.3875,1.217971208985119
1,-1.275,0.4,1.2464328746026911
1,-1.275,0.4125,1.2754365829865681
1,-1.275,0.425,1.3049739653335253
1,-1.275,0.4375,1.3350366767149637
1,-1.275,0.45,1.3656163959404386
1,-1.275,0.4625,1.396704825428172
1,-1.275,0.475,1.4282936910829573
1,-1.275,0.4875,1.460374742181973
1,-1.275,0.5,1.4929397512688611
1,-1.2375,-0.5,1.1032618782417822
1,-1.2375,-0.4875,1.0702874421536759
1,-1.2375,-0.475,1.0385073632968898
1,-1.2375,-0.4625,1.0079113624052969
1,-1.2375,-0.45,0.9784891902631982
1,-1.2375,-0.4375,0.9502306277549813
1,-1.2375,-0.425,0.9231254859121465
1,-1.2375,-0.4125,0.8971636059575407
1,-1.2375,-0.4,0.8723348593466741
1,-1.2375,-0.3875,0.848629147806009
1,-1.2375,-0.375,0.8260364033680554
1,-1.2375,-0.3625,0.8045465884031814
1,-1.2375,-0.35,0.784149695647983
1,-1.2375,-0.3375,0.7648357482301107
1,-1.2375,-0.325,0.7465947996894227
1,-1.2375,-0.3125,0.7294169339953366
1,-1.2375,-0.3,0.7132922655602809
1,-1.2375,-0.2875,0.6982109392491205
1,-1.2375,-0.275,0.6841631303844593
1,-1.2375,-0.2625,0.6711390447476993
1,-1.2375,-0.25,0.6591289185757782
1,-1.2375,-0.2375,0.6481230185534743
1,-1.2375,-0.225,0.6381116418012018
1,-1.2375,-0.2125,0.6290851158582048
1,-1.2375,-0.2,0.6210337986610862
1,-1.2375,-0.1875,0.6139480785175893
1,-1.2375,-0.175,0.6078183740755828
1,-1.2375,-0.1625,0.602635134287187
1,-1.2375,-0.15,0.5983888383680022
1,-1.2375,-0.1375,0.5950699957513921
1,-1.2375,-0.125,0.5926691460378134
1,-1.2375,-0.1125,0.591176858940013
1,-1.2375,-0.1,0.590583734671996
1,-1.2375,-0.0875,0.5908806340768158
1,-1.2375,-0.075,0.592083309711195
1,-1.2375,-0.0625,0.5941932828786218
1,-1.2375,-0.05,0.5971659023255003
1,-1.2375,-0.0375,0.6009911328311142
1,-1.2375,-0.025,0.605659751335127
1,-1.2375,-0.0125,0.6111625658371194
1,-1.2375,0.0,0.6174904137276215
1,-1.2375,0.0125,0.6246341616807625
1,-1.2375,0.025,0.6325847055454464
1,-1.2375,0.0375,0.6413329702321391
1,-1.2375,0.05,0.6508699095953989
1,-1.2375,0.0625,0.6611865063122778
1,-1.2375,0.075,0.6722737717567461
1,-1.2375,0.0875,0.6841227458703094
1,-1.2375,0.1,0.6967244970289759
1,-1.2375,0.1125,0.710070121906785
1,-1.2375,0.125,0.724150745336069
1,-1.2375,0.1375,0.7389575201646746
1,-1.2375,0.15,0.754481627110371
1,-1.2375,0.1625,0.770714274612659
1,-1.2375,0.175,0.7876466986822512
1,-1.2375,0.1875,0.8052701627484623
1,-1.2375,0.2,0.8235759575047745
1,-1.2375,0.2125,0.8425554007528925
1,-1.2375,0.225,0.8621998372455176
1,-1.2375,0.2375,0.8825006385282025
1,-1.2375,0.25,0.903449202780553
1,-1.2375,0.2625,0.9250369546571078
1,-1.2375,0.275,0.9472553451282415
1,-1.2375,0.2875,0.970095851321401
1,-1.2375,0.3,0.9935499763630331
1,-1.2375,0.3125,1.0176092492215574
1,-1.2375,0.325,1.042265224551746
1,-1.2375,0.3375,1.0675094825408649
1,-1.2375,0.35,1.093333628756963
1,-1.2375,0.3625,1.1197292939996824
1,-1.2375,0.375,1.1466881341539708
1,-1.2375,0.3875,1.1742018300470913
1,-1.2375,0.4,1.2022620873093164
1,-1.2375,0.4125,1.2308606362387104
1,-1.2375,0.425,1.2599892316703831
1,-1.2375,0.4375,1.2896396528506364
1,-1.2375,0.45,1.3198037033163919
1,-1.2375,0.4625,1.3504732107803084
1,-1.2375,0.475,1.3816400270219955
1,-1.2375,0.4875,1.4132960277857265
1,-1.2375,0.5,1.4454331126850406
1,-1.2,-0.5,1.0716118592614727
1,-1.2,-0.4875,1.0388093426990181
1,-1.2,-0.475,1.007188467990285
1,-1.2,-0.4625,0.9767391021251625
